Rank,Team,Points,Scored,Conceded,Goal_Difference
1,Arsenal,91,76,28,48
2,Manchester City,91,81,35,46
3,Liverpool,84,88,46,42
4,Chelsea,70,74,58,16
5,Newcastle Utd,69,76,62,14
6,Tottenham,61,68,64,4
7,Aston Villa,56,63,60,3
8,Brighton,51,57,56,1
9,Everton,48,53,55,-2
10,Bournemouth,48,56,58,-2
11,Nott'ham Forest,48,50,53,-3
12,Crystal Palace,48,49,52,-3
13,Manchester Utd,43,57,69,-12
14,Brentford,42,58,56,2
15,Fulham,38,51,63,-12
16,West Ham,37,53,71,-18
17,Wolves,32,47,68,-21
18,Luton Town,25,42,78,-36
19,Burnley,23,41,70,-29
20,Sheffield Utd,22,39,77,-38
