"Q1: Prior to xG, what did you consider the most indicative statistic of the result?",Q2: Do you know what xG is?,Q3: Do you know how it is calculated?,Q4: Is it the most telling statistic other than goals?
P,Yes,No,No
S,Yes,No,Yes
P,Yes,No,Yes
P,Yes,Have an idea,Yes
S,Yes,No,Yes
S,Yes,No,Yes
S,Yes,No,Yes
P,Yes,No,No
P,No,NA,NA
P,Yes,Have an idea,Yes
S,No,NA,NA
S,Yes,Have an idea,No
S,No,NA,NA
S,Yes,Have an idea,Yes
S,Yes,No,No
S,Yes,No,Yes
S,Yes,Yes,Yes
P,Yes,Have an idea,Yes
P,Yes,Have an idea,Yes
S,Yes,Have an idea,Yes
S,Yes,Have an idea,No
S,Yes,No,No
O,Yes,Have an idea,Yes
P,Yes,Yes,Yes
S,Yes,Yes,Yes
S,Yes,No,Yes
P,Yes,No,No
P,Yes,Have an idea,Yes
P,No,NA,NA
S,Yes,Have an idea,Yes
S,Yes,No,Yes
P,Yes,Yes,No
S,Yes,No,No
S,Yes,Yes,No
S,Yes,Yes,Yes
S,Yes,Have an idea,Yes
P,Yes,Yes,Yes
S,Yes,No,Yes
P,Yes,No,Yes
S,Yes,No,Yes
P,Yes,No,Yes
P,Yes,Yes,Yes
P,Yes,No,Yes
S,Yes,Have an idea,Yes
P,Yes,No,Yes
P,Yes,No,Yes
P,Yes,Have an idea,Yes
S,Yes,No,Yes
P,Yes,Have an idea,Yes
P,Yes,Yes,Yes
P,Yes,No,Yes
S,Yes,Yes,Yes
S,Yes,No,Yes
S,No,NA,NA
O,Yes,Have an idea,No
P,Yes,No,Yes
P,Yes,Have an idea,Yes
S,Yes,No,Yes
S,Yes,Have an idea,Yes
S,Yes,Have an idea,Yes
S,Yes,Have an idea,Yes
S,Yes,Yes,Yes
S,Yes,No,Yes
S,Yes,Have an idea,No
P,Yes,Have an idea,No
P,Yes,No,No
S,Yes,Have an idea,Yes
P,Yes,Yes,Yes
P,Yes,Have an idea,Yes
S,Yes,Have an idea,Yes
S,Yes,Have an idea,Yes
P,Yes,No,Yes
P,Yes,No,Yes
P,Yes,Have an idea,Yes
S,Yes,No,Yes
S,Yes,No,Yes
P,Yes,Have an idea,No
S,Yes,No,No
P,Yes,Have an idea,No
S,Yes,No,No
S,Yes,Yes,Yes
P,Yes,Have an idea,Yes
S,Yes,No,Yes
S,Yes,Have an idea,Yes
P,Yes,Have an idea,No
S,Yes,Have an idea,No
S,Yes,Have an idea,Yes
S,Yes,Have an idea,Yes
P,Yes,Have an idea,No
P,Yes,Yes,Yes
P,Yes,Have an idea,Yes
S,Yes,No,Yes
S,Yes,Yes,Yes
P,No,NA,NA
P,Yes,Yes,Yes
O,Yes,Have an idea,Yes
S,Yes,No,No
P,Yes,Have an idea,No
P,Yes,Have an idea,Yes
P,Yes,Have an idea,Yes
